_id,channel,text,date
6579a3c0316b8a2a5b0c0827,cryptowhalesreal,I hope eveyone could get this fabulous profit 💰🐳\n#free_signal_result\n➖➖➖➖➖➖➖➖➖➖➖➖\n©️ Crypto Whales - Trade Bravely,2023-12-12T09:40:12.000Z
6579a3c0316b8a2a5b0c0828,cryptowhalesreal,🎁 #FREE_SIGNAL \n\n🟣 Future Signal 🟣\n📈 BUY\n❇️ #TIA - USDT\n🏢 Exchange: All available exchanges\n➖➖➖➖➖➖➖➖➖➖➖➖➖\n\n▶️ Entry Price: 10.15\n🔸Target 1: 10.27\n🔸 Target 2: 10.35\n🔸 Target 3: 10.42\n🔸 Target 4: 10.50\n\n🎚 Leverage: 20X\n⭕️ Stop Loss: 9.60\n➖➖➖➖➖➖➖➖➖➖➖➖\n🕙 11 Dec 2023 - 12:39 GMT\n📊 Current Price: 10.06\n➖➖➖➖➖➖➖➖➖➖➖➖\nBy: @cryptowhalesad\nCrypto Whales,2023-12-11T12:39:33.000Z
6579a3c0316b8a2a5b0c0829,cryptowhalesreal,Another 40% profit after the entry for a buy signal 🔥🚀\n➖➖➖➖➖➖➖➖➖➖➖➖\n©️ Crypto Whales - Trade Bravely,2023-12-10T13:24:29.000Z
6579a3c0316b8a2a5b0c082a,cryptowhalesreal,🟣 Future Signal 🟣\n📈 BUY\n❇️ #SOL - USDT\n🏢 Exchange: All available exchanges\n➖➖➖➖➖➖➖➖➖➖➖➖\n\n▶️ Entry Price: 73.010\n🔸Target 1: 73.302\n🔸 Target 2: 73.594\n🔸 Target 3: 74.032\n🔸 Target 4: 74.835\n\n🎚 Leverage: 20X\n⭕️ Stop Loss: 70.820\n➖➖➖➖➖➖➖➖➖➖➖➖\n🕙 08 Dec 2023 - 11:34 GMT\n📊 Current Price: 72.10\n➖➖➖➖➖➖➖➖➖➖➖➖\nBy: @cryptowhalesad\nCrypto Whales,2023-12-10T13:24:20.000Z
6579a3c0316b8a2a5b0c082b,cryptowhalesreal,This is the correct way of starting the weekend 😍🔥\nTouched all targets with over 50% profit 💰\n#signal_result \n➖➖➖➖➖➖➖➖➖➖➖➖\n©️ Crypto Whales - Trade Bravely,2023-12-09T07:54:00.000Z
6579a3c0316b8a2a5b0c082c,cryptowhalesreal,🟣 Future Signal 🟣\n📈 BUY\n❇️ #SXP - USDT\n🏢 Exchange: All available exchanges\n➖➖➖➖➖➖➖➖➖➖➖➖\n\n▶️ Entry Price: 0.3925\n🔸Target 1: 0.3941\n🔸 Target 2: 0.3956\n🔸 Target 3: 0.3980\n🔸 Target 4: 0.4023\n\n🎚 Leverage: 20X\n⭕️ Stop Loss: 0.3807\n➖➖➖➖➖➖➖➖➖➖➖➖\n🕙 07 DEC 2023 - 12:57 GMT\n📊 Current Price: 0.3861\n➖➖➖➖➖➖➖➖➖➖➖➖\nBy: @cryptowhalesad\nCrypto Whales,2023-12-09T07:53:39.000Z
6579a3c0316b8a2a5b0c082d,cryptowhalesreal,Semms #YGG doen't have enough strength. We just removed our position although those who entered could save their profit in target 1.\nStay tuned for another free signal soon 🔥,2023-12-08T13:35:24.000Z
6579a3c0316b8a2a5b0c082e,cryptowhalesreal,The price had a bearish shadow; don't worry 😮‍💨\nTime to enter if you haven't 🐳,2023-12-06T07:28:24.000Z
6579a3c0316b8a2a5b0c082f,cryptowhalesreal,🎁 #FREE_SIGNAL \n\n🟣 Future Signal 🟣\n📈 BUY\n❇️ #YGG - USDT\n🏢 Exchange: All available exchanges\n➖➖➖➖➖➖➖➖➖➖➖➖➖\n\n▶️ Entry Price: 0.40\n🔸Target 1: 0.42\n🔸 Target 2: 0.47\n🔸 Target 3: 0.51\n🔸 Target 4: 0.55\n\n🎚 Leverage: 20X\n⭕️ Stop Loss: 0.318\n➖➖➖➖➖➖➖➖➖➖➖➖\n🕙 05 Dec 2023 - 15:25 GMT\n📊 Current Price: 0.3867\n➖➖➖➖➖➖➖➖➖➖➖➖\nBy: @cryptowhalesad\nCrypto Whales,2023-12-05T15:25:19.000Z
6579a3c0316b8a2a5b0c0830,cryptowhalesreal,We keep the Monday Blues away with profitable signals 🐳🚀\nOver 50% after our call 💰\n#signal_result\n➖➖➖➖➖➖➖➖➖➖➖➖\n©️ Crypto Whales - Trade Bravely,2023-12-04T20:00:22.000Z
